ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
70;Adventsmarkt der Ev. Kirchengemeinde;Reinickendorf;Alt-Wittenau 29;13437;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1308712-1328154-adventsmarktderevkirchengemeindefrohnau.html;Alt-Wittenau 29, 13437 Berlin, Deutschland
71;Weihnachtsbasar auf der Familienfarm Lübars;Reinickendorf;Alte Fasanerie 10;13469;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1310444-1328154-weihnachtsbasaraufderfamilienfarml%C3%BCbars.html;Alte Fasanerie 10, 13469 Berlin, Deutschland
72;Weihnachtsmarkt in Tegel;Reinickendorf;Berliner Straße 100;13507;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/reinickendorf/1319569-1328154-weihnachtsmarktintegel.html;Berliner Straße 100, 13507 Berlin, Deutschland
73;39. Spandauer Weihnachtsmarkt in der Altstadt;Spandau;Altstadt Berlin-Spandau, Carl-Schurz-Straße;13597;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/971839-1328177-spandauerweihnachtsmarkt.html;Altstadt Berlin-Spandau, Carl-Schurz-Straße, 13597 Berlin, Deutschland
74;Spandauer Weihnachtstraum vor dem Rathaus Spandau;Spandau;Carl-Schurz-Straße;13597;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/2171233-1328177-spandauer-weihnachtstraum-vor-dem-rathau.html;Carl-Schurz-Straße, 13597 Berlin, Deutschland
75;Kladower Christkindlmarkt 2012;Spandau;Imchenplatz 1;14089;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/1305091-1328177-kladowerchristkindlmarkt.html;Imchenplatz 1, 14089 Berlin, Deutschland
76;Goldnetz Weihnachtsmarkt auf dem Marktplatz Spandau;Spandau;Zitadellenweg 34;13599;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/2183752-1328177-goldnetz-weihnachtsmarkt-auf-dem-marktpl.html;Zitadellenweg 34, 13599 Berlin, Deutschland
77;Weihnachtsmarkt auf dem Vierfelderhof in Gatow;Spandau;Vierfelderhof Bauer Bathe gemeinnützige GmbH, Straße 264, Nr. 33;14089;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/1341474-1328177-weihnachtsmarktaufdemvierfelderhofingato.html;Vierfelderhof Bauer Bathe gemeinnützige GmbH, Straße 264, Nr. 33, 14089 Berlin, Deutschland
78;Gatower Weihnachtsmarkt;Spandau;Buchwaldzeile 43;14089;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/1304796-1328177-gatowerweihnachtsmarkt.html;Buchwaldzeile 43, 14089 Berlin, Deutschland
79;Weihnachtsmarkt im Evangelischen Johannesstift;Spandau;Schönwalder Allee 26;13587;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/spandau/1305293-1328177-weihnachtsmarktimevangelischenjohannesst.html;Schönwalder Allee 26, 13587 Berlin, Deutschland
80;Weihnachtsmarkt Forum-Steglitz;Steglitz-Zehlendorf;Schlossstrasse 1;12163;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/1001677-1328178-weihnachtsmarktamforumsteglitz.html;Schlossstrasse 1, 12163 Berlin, Deutschland
81;2. Zehlendorfer Weihnachtsmarkt;Steglitz-Zehlendorf;Kirchstraße 1;14160;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2196318-1328178-1-zehlendorfer-weihnachtsmarkt.html;Kirchstraße 1, 14160 Berlin, Deutschland
82;Weihnachtsmarkt auf der Domäne Dahlem;Steglitz-Zehlendorf;Königin-Luise-Straße 49;14195;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/971933-1328178-adventsmarktdom%C3%A4nedahlem.html;Königin-Luise-Straße 49, 14195 Berlin, Deutschland
